fecha,presion_media,presion_min,presion_max,presion_desv,humedad_media,humedad_min,humedad_max,humedad_desv,viento_media,viento_min,viento_max,viento_desv,rafaga_media,rafaga_min,rafaga_max,rafaga_desv,viento_norte,viento_este,direccion_viento,registros_del_dia,anio,dia_del_anio,estacion_anio,mes,sector_viento,temp_max_manana
2009-02-12,986.7699,983.22,989.49,2.1569,77.4697,58.27,92.1,9.6642,7.55532,2.772,14.868,69.17,3.7508,1.5,6.63,59.175,0.3389,-1.4666,283.0129,144.0,2009.0,43.0,verano,marzo,O,1.48
2009-02-13,989.2739,988.44,994.9064584843338,,84.9241,68.02,94.8,9.0065,1.5179,0.13,2.98,0.7029,2.7109,0.38,6.13,1.2846,-0.2777,-1.3465,,144.0,2009.0,44.0,invierno,noviembre,O,-0.69
2009-02-14,994.9869,989.0,1003.735938351838,3.6486,85.7458,73.5,94.2,5.2747,1.7072,0.39,2.71539127,0.9006,2.9835,0.63,3.80900423,1.2049,0.3487,-0.77,294.3656,144.0,2009.0,45.0,invierno,febrero,NO,-0.72
2009-02-15,998.7019,993.95,1000.68,,81.17269999999999,63.93,91.8,9.1973,2.1507,0.27,5.23,1.2468,3.4513,0.63,7.63,1.8045,-1.5937,-0.9096,209.7145,144.0,2009.0,46.0,invierno,marzo,SO,2.41
2009-02-16,991.0104,987.52,993.86,,87.4924,78.4,96.0,4.396,2.1819,0.55,3.00743564,0.9802,3.813,1.38,5.12631075,1.5745,-1.0319,-1.3606,232.8224,144.0,2009.0,47.0,invierno,febrero,SO,0.17
2009-02-17,991.2978,985.32,999.06,4.5703,86.9204,66.64,98.2,11.1089,2.8333,0.03,6.27,1.6456,4.419,0.25,9.75,2.2002,2.2588,0.8128,19.7903,144.0,2009.0,48.0,invierno,febrero,N,-0.19
2009-02-18,999.4128,998.55,1000.7,0.6099,78.7383,56.88,88.9,10.1606,1.4614,0.33,3.25,0.5324,2.6056,0.75,4.75,0.8357,0.0576,-0.8816,273.739,144.0,2009.0,49.0,verano,noviembre,O,1.66
2009-02-19,997.8533,996.98,998.72,0.5572,74.3589,49.33,90.9,13.7603,1.7452,,,0.8722,2.7934,1.13,7.13,1.3969,-1.405,-0.6084,203.4127,144.0,2009.0,50.0,invierno,febrero,SO,2.53
2009-02-20,996.7133,995.74,998.82,0.9071,94.2403,85.4,97.9,2.9842,1.8403,0.67,3.61,0.7226,3.1519,1.5,6.13,0.9341,-0.895,-1.1091,231.0953,,2009.0,51.0,invierno,febrero,SO,2.06
2009-02-21,1000.6467,998.81,1001.6,0.8104,94.1701,89.2,97.1,2.2714,1.5354,0.31,2.62,0.478,2.6912,0.75,5.13,0.8238,-0.2979,-1.4314,258.2434,144.0,2009.0,52.0,invierno,febrero,O,4.23
2009-02-22,991.9282,987.55,999.68,3.536,94.6819,87.5,99.2,3.706,1.7647,0.29,2.1747985,0.6853,3.1822,0.63,4.81562525,1.2511,-1.0318,-0.9368,222.2369,144.0,2009.0,53.0,verano,febrero,SO,3.89
2009-02-23,985.6422,984.07,988.89,1.2634,87.1854,79.9,96.5,4.7004,2.8842,1.05,6.66,,5.5652,2.75,9.75,1.3048,-0.2442,-2.584,264.6022,144.0,2009.0,54.0,invierno,febrero,O,0.36
2009-02-24,995.7947,988.96,1001.17,3.9542,93.1153,88.8,96.3,1.3869,3.64284,0.0,12.204,0.7698,1.9135,0.0,5.38,1.4669,0.472,-0.1499,342.3869,144.0,2009.0,55.0,verano,abril,N,5.45
2009-02-25,999.9206,996.49,1001.71,1.702,81.9781,,98.7,13.8455,2.0062,0.0,3.15656468,1.5539,3.1381,0.0,4.27503248,2.2635,-1.6703,-0.9851,210.5319,144.0,2009.0,56.0,invierno,febrero,SO,5.96
2009-02-26,990.586,985.86,997.729414377932,2.8527,78.9006,,91.8,6.9455,10.60236,1.908,12.168929664000002,117.01,5.2672,1.5,8.88,91.91,-2.0217,-2.0218,225.0018,144.0,2009.0,57.0,verano,julio,SO,6.29
2009-02-27,987.7591,985.32,989.32,1.3345,87.8576,78.7,94.0,3.857,2.1535,0.51,3.89,0.7255,4.2082,1.5,10.078921678478178,1.4054,-0.6237,-2.011,252.7698,144.0,2009.0,58.0,invierno,febrero,O,8.1
2009-02-28,988.464,986.67,989.5,0.8298,92.6444,88.5,97.4,2.665,4.194,0.324,11.052,53.190000000000005,1.9408,0.38,4.63,40.85,,-0.6143,216.4928,144.0,2009.0,59.0,verano,mayo,SO,12.17
2009-03-01,984.8683,982.88,986.78,1.1126,86.8758,59.67,97.5,11.5544,8.04168,0.972,10.73729088,81.31,3.4278,1.0,6.88,56.24,-2.1506,0.2883,172.3635,144.0,2009.0,60.0,primavera,septiembre,S,7.87
2009-03-02,985.7242,984.01,989.49,1.668,87.7875,79.8,94.1,3.8228,7.394399999999999,2.556,7.941121379999999,0.6166,3.3632,1.63,3.728226,0.9107,-1.4392,,198.0279,144.0,2009.0,61.0,primavera,julio,S,8.79
2009-03-03,987.478,981.75,990.22,2.6279,74.6581,45.82,95.8,17.7598,1.8038,0.1,5.04,1.1053,2.8524,0.5,7.13,1.5483,-1.3053,-0.8178,212.0676,144.0,2009.0,62.0,primavera,agosto,SO,10.26
2009-03-04,970.9461,962.67,981.57,5.7696,74.9337,55.43,89.5,10.6076,9.15336,0.54,,1.837,4.0971,0.63,9.75,2.7248,-2.3734,0.188,175.4718,144.0,2009.0,,primavera,septiembre,S,6.36
2009-03-05,959.8607,958.67,962.54,0.8964,94.2944,86.0,97.8,2.8296,1.2908,0.04,3.45,0.787,2.2142,0.25,5.25,1.0716,1.1131,0.1826,9.3166,144.0,2009.0,64.0,primavera,julio,N,5.37
2009-03-06,966.1201,960.5,974.09,4.3143,97.6889,95.8,98.8,0.9211,1.9065,0.4,4.89,1.1719,2.9876,0.88,6.38,1.4344,1.395,0.1033,4.234,144.0,2009.0,65.0,primavera,marzo,N,3.35
2009-03-07,981.5191,974.18,986.67,3.9282,92.3819,84.9,97.3,3.8146,2.1013,0.89,3.56,0.5825,3.6407,1.25,6.25,1.0924,-0.5092,-1.9303,255.2218,144.0,2009.0,66.0,primavera,octubre,O,6.44
2009-03-08,980.1182,975.25,986.24,,88.5472,73.5,98.6,8.0668,3.2713,0.48,9.76,2.0186,4.9997,1.25,12.75,2.8387,-2.9175,-1.0995,200.6488,144.0,2009.0,67.0,verano,marzo,S,6.41
2009-03-09,980.0093,975.24,984.44,3.0705,74.4285,56.69,97.0,11.2405,,0.27,6.77,1.0008,4.8608,0.75,,1.8873,-1.3009,-2.1577,238.9135,144.0,2009.0,68.0,primavera,junio,SO,5.58
2009-03-10,981.9172,977.33,985.07,3.0183,80.5678,69.46,93.5,7.0047,3.6012,0.32,7.49,1.9073,5.5859,0.75,11.0,2.4751,-2.8383,-2.0031,215.2126,,2009.0,69.0,primavera,marzo,SO,6.06
2009-03-11,989.1622,978.63,995.38,5.0818,83.8916,59.660000000000004,96.6,10.3265,2.3262,1.23,3.37,0.475,4.1622,2.0,6.13,,-0.2467,-2.2436,263.7253,144.0,2009.0,70.0,primavera,marzo,O,5.91
2009-03-13,991.4599,987.5,994.31,2.2914,74.1331,51.1,91.4,12.4783,8.90316,1.0080000000000002,,0.823,4.3506,0.88,7.75,1.5804,-0.3368,-2.3271,261.7639,144.0,2009.0,72.0,primavera,octubre,O,10.36
2009-03-14,,988.47,994.22,1.9368,78.9625,57.48,97.0,13.9071,2.0497,0.18,5.78,1.3149,3.1649,0.63,7.63,1.7863,-1.8129,-0.4786,194.7897,144.0,2009.0,73.0,primavera,marzo,S,7.56
2009-03-15,994.909,989.35,1003.9060774646956,3.4922,87.7937,80.4,93.5,3.4041,2.1475,0.27,4.03,0.5528,4.0512,0.63,7.5,1.0709,-0.4622,-2.0583,,144.0,2009.0,74.0,primavera,marzo,O,8.26
2009-03-16,1004.1262,1001.3,1005.45,1.162,84.9424,71.8,95.6,7.6103,5.282640000000001,,,0.5406,2.4192,0.75,3.88,0.7635,-0.2898,-1.1968,256.3882,144.0,2009.0,75.0,primavera,octubre,O,10.74
2009-03-17,1003.5888,1002.29,1005.25,0.6917,71.8037,52.09,85.8,11.4856,2.0687,0.3,3.83,0.7326,3.8514,0.63,7.75,1.5902,-0.2822,-1.9248,261.6596,144.0,2009.0,76.0,primavera,marzo,O,9.31
2009-03-18,1002.7473,998.71,1005.49,2.3902,63.986,39.86,,14.3719,,0.99,4.16,0.6611,4.3612,1.63,7.13,1.067,-0.4503,-2.3854,259.3108,144.0,2009.0,77.0,verano,marzo,O,4.91
2009-03-19,998.2676,995.9,1002.15,1.7116,70.2421,49.9,94.4,10.2189,2.7769,0.43,8.8,1.4432,4.5787,1.0,12.75,2.2235,1.6429,-0.1547,354.6191,144.0,2009.0,78.0,primavera,marzo,N,2.58
2009-03-21,1000.6249,996.56,1004.03,2.4457,58.055599999999,34.37,90.11985492159702,18.5243,1.3211,0.07,2.09402027,0.7855,2.3456,0.25,3.96434698,1.4293,-0.6824,-0.5823,220.4721,144.0,2009.0,80.0,primavera,marzo,SO,8.51
2009-03-22,993.3515,991.02,996.44,1.2021,,50.55,79.7,7.1901,2.509,0.35,4.81,1.1984,5.025,0.75,11.25,2.3637,-0.5943,-2.0699,253.9809,144.0,2009.0,81.0,primavera,septiembre,O,8.04
2009-03-23,979.8688,,990.94,6.9318,74.6413,59.61,91.1,8.5502,3.9168,1.72,4.93989945,1.1799,7.7411,3.88,9.55668598,2.3349,-1.5802,-3.4613,245.4612,144.0,2009.0,82.0,primavera,mayo,SO,6.45
2009-03-24,975.8044,970.83,982.73,3.9892,76.2591,48.36,93.3,9.4258,10.38312,3.06,26.928,101.43,5.5656,1.75,13.13,106.185,-0.0346,-2.4987,269.2076,144.0,2009.0,83.0,primavera,octubre,O,2.45
2009-03-25,976.1547,970.82,982.52,4.4466,83.0331,63.84,96.8,9.2778,9.64836,1.584,16.598062152,1.5224,3.9914,0.88,6.915859230000001,2.2045,-2.235,-0.5869,194.7128,144.0,2009.0,84.0,primavera,marzo,S,7.62
2009-03-26,977.152,973.14,980.24,2.0617,81.0869,60.17,99.1475428067219,11.4739,14.03964,1.98,18.253394496,1.8925,5.9714,0.88,7.30110925,2.5704,-2.8757,,217.8908,144.0,2009.0,85.0,primavera,octubre,SO,8.51
2009-03-28,972.9165,969.69,977.02,2.0005,77.2399,62.78,87.9,6.5013,3.7899,0.32,9.36,2.1155,5.7951,0.88,13.63,,-3.3033,-1.2771,201.137,144.0,2009.0,87.0,otoño,marzo,S,8.85
2009-03-29,981.1278,977.03,987.04,2.8423,69.139,49.87,83.0,10.7472,2.008,,4.46,1.1412,3.2275,0.5,7.0,1.3501,-0.531,-1.0106,242.2807,144.0,2009.0,88.0,primavera,noviembre,SO,8.27
2009-03-30,992.8499,987.15,997.17,2.9925,77.3629,57.77,89.6,9.3161,1.2547,0.02,3.81,0.9989,2.2049,0.25,5.88,1.475,0.7717,0.4761,31.6731,144.0,2009.0,89.0,otoño,marzo,NE,11.76
2009-03-31,996.6424,994.59,998.62,1.41,72.89,43.15,97.5,20.8353,1.4706,0.1,4.15,1.2154,2.5649,0.38,6.88,1.9633,0.5333,0.7459,54.4351,144.0,2009.0,90.0,otoño,marzo,NE,13.38
2009-04-01,993.8551,992.71,994.64,0.4819,61.85849999999999,36.76,93.6,19.458,10.22688,0.396,23.328000000000003,203.84000000000003,4.7131,0.38,11.38,162.86499999999998,1.7615,1.9371,47.7183,144.0,2009.0,91.0,primavera,noviembre,NE,16.28
2009-04-02,993.4159,991.72,994.64,1.1351,59.4576,46.23,75.6,9.0151,3.7023,0.84,6.31,1.2481,5.6815,1.5,9.88,1.9878,2.8667,1.3277,,144.0,2009.0,92.0,primavera,diciembre,NE,22.37
2009-04-03,990.4504,988.25,991.95,1.2454,61.7311,31.72,93.7,20.8908,,0.01,2.5041251300000003,1.0089,2.4016,0.13,4.0389115,1.5046,-1.246,0.0341,178.4311,144.0,2009.0,93.0,primavera,enero,S,19.58
2009-04-04,991.279,990.37,993.8,0.9931,69.9707,51.79,94.2,14.4179,1.2469,0.13,2.19965334,0.7741,2.4071,0.5,4.0389115,1.4752,,-0.5709,242.1577,144.0,2009.0,94.0,primavera,abril,SO,14.39
2009-04-05,995.4567,993.9,997.11,0.7757,77.9346,63.31,92.2,8.5367,5.41656,0.396,10.558336032,94.94,2.5465,0.38,3.728226,62.665000000000006,0.9453,0.7096,36.8948,144.0,2009.0,95.0,primavera,enero,NE,18.88
2009-04-06,990.0981,985.82,994.91,3.3268,75.2866,53.08,93.5,14.4224,1.0392,0.04,3.41,0.818,1.9045,0.25,7.744997248411672,1.3224,0.0689,0.3991,80.2078,144.0,2009.0,96.0,primavera,abril,E,22.1
2009-04-08,986.8988,985.25,988.85,0.944,68.2899,48.64,91.6,14.2384,2.3315,0.28,7.31,1.6071,3.63,0.75,10.38,2.4871,-1.7213,-1.285,,144.0,2009.0,98.0,otoño,abril,SO,16.97
2009-04-09,989.7985,988.77,991.32,0.8131,68.0445,54.04,86.2,9.306,1.497,0.03,3.51,0.8495,2.4319,0.25,5.38,1.1638,-0.0077,0.1777,92.4666,144.0,2009.0,99.0,primavera,abril,E,23.16
2009-04-10,984.9312,981.38,988.79,2.5773,66.899,33.16,97.0,22.794,1.4774,0.13,2.57247594,1.0576,2.7949,0.5,4.6602825,1.9819,-0.2198,0.7829,105.6796,144.0,2009.0,100.0,primavera,agosto,E,22.01
2009-04-11,982.5188,981.82,983.7,0.5194,65.584,39.63,94.0,14.8967,2.0612,0.0,5.32,1.4782,3.2619,0.0,8.13,2.1625,1.5561,0.9434,31.2261,144.0,2009.0,101.0,primavera,abril,NE,20.05
2009-04-12,983.8507,982.99,984.57,,61.6245,38.67,93.8,16.8423,7.56288,0.108,20.016,1.5239,3.2803,0.25,11.471043502039386,2.1731,1.7317,0.8097,25.0601,144.0,2009.0,102.0,primavera,noviembre,NE,19.77
2009-04-13,982.3281,980.64,,1.1272,66.4616,44.35,93.8,16.218,5.833080000000001,0.072,20.16,1.5538,2.5676,0.25,7.38,2.1107,1.0379,0.6905,33.6354,144.0,2009.0,103.0,primavera,enero,NE,20.56
2009-04-14,982.4517,981.77,983.84,0.5637,66.2371,40.89,93.6,17.513,5.454359999999999,0.0,23.568188614075492,1.457,2.5178,0.13,4.74106073,2.1433,0.8628,0.6292,36.1019,144.0,2009.0,104.0,primavera,febrero,NE,22.09
2009-04-15,983.9859,982.88,985.06,0.64,56.6661,30.509999999999998,93.9,23.5907,1.7886,0.03,4.7,1.3757,3.1769,0.38,8.13,2.3162,-0.0465,0.8818,93.0183,144.0,2009.0,105.0,primavera,abril,E,22.42
2009-04-16,980.5444,976.4,984.08,2.7717,52.6632,32.49,79.1,13.389,1.9794,0.0,5.03,1.5168,3.4624,0.0,8.75,2.3883,0.2066,1.0841,79.2115,144.0,2009.0,106.0,primavera,julio,E,12.42
2009-04-17,977.2138,975.49,979.29,0.8753,90.8908,60.07,96.2,9.7865,5.66028,1.404,19.476000000000003,70.63000000000001,2.8431,1.13,8.38,52.04,-0.0253,-0.5385,267.3115,144.0,2009.0,107.0,otoño,abril,O,9.79
2009-04-18,985.4798,979.43,992.19,3.9119,90.8562,82.5,95.8,4.0069,2.1873,0.54,3.25598404,1.2235,3.6415,,0.70214923,1.4717,1.561,0.3771,13.5814,144.0,2009.0,108.0,primavera,abril,N,14.65
2009-04-19,995.3985,992.24,997.31,1.518,78.4681,59.0,93.9,11.6651,9.94608,1.584,20.844,1.226,4.131,1.5,8.0,1.6942,2.3982,1.1673,25.954,144.0,2009.0,109.0,primavera,febrero,NE,16.42
2009-04-20,996.7824,995.5,997.9,0.7794,62.841800000000006,41.11,95.3,18.1297,8.5068,0.0,23.040000000000003,1.9767,3.8031,0.13,9.5,2.892,1.9617,0.9206,25.1393,144.0,2009.0,110.0,primavera,noviembre,NE,17.09
2009-04-21,995.936,994.49,997.46,0.9445,54.7089,32.12,86.8,17.3025,1.5304,0.01,4.24,1.287,2.7203,0.25,7.25,2.1208,0.885,0.783,41.5003,144.0,2009.0,111.0,primavera,abril,NE,15.7
2009-04-22,993.053,991.39,995.12,0.8993,70.1435,40.12,90.9,15.896,1.7317,0.11,7.51,1.4644,3.1485,0.63,11.13,2.2951,0.5017,-0.328,326.8273,144.0,2009.0,112.0,otoño,diciembre,NO,8.54
2009-04-23,995.1531,992.68,,1.6684,86.316,73.5,96.5,7.3977,5.52672,0.144,14.976,1.0033,2.7524,0.5,6.5,1.5042,0.8035,-0.0278,358.0213,144.0,2009.0,113.0,primavera,marzo,N,17.67
2009-04-24,995.0159,990.73,998.08,2.8313,72.1037,41.44,99.5,24.7806,2.137,0.13,5.26,1.4568,3.7536,0.38,8.38,2.4556,0.4542,1.1832,69.0009,144.0,2009.0,114.0,primavera,enero,E,21.57
2009-04-25,988.4359,987.02,990.74,0.9755,49.3054,29.93,79.4,14.8796,7.318799999999999,0.0,13.376874888,161.68,3.4203,0.0,5.983802730000001,125.46,-1.8172,-0.1156,183.641,144.0,2009.0,115.0,primavera,septiembre,S,20.75
2009-04-26,982.8031,978.01,,3.0482,60.5503,34.14,90.2,17.5711,1.9058,0.03,3.67230261,1.6743,3.0636,0.25,5.517774480000001,2.4743,-1.7648,0.4429,165.9135,144.0,2009.0,116.0,primavera,abril,S,21.37
2009-04-27,977.4757,975.09,979.09,,,78.2386032786383,41.86,9.2411,1.8936,0.17,2.94529854,0.9475,3.2421,0.63,4.349597,1.3792,-1.3234,-0.3612,195.2647,144.0,2009.0,117.0,primavera,abril,S,22.02
2009-04-28,975.5248,973.37,980.56,2.4921,75.9387,40.27,95.4,16.0787,6.97536,0.0,12.929487768,1.5055,3.3893,,5.207088980000001,2.3877,-1.1126,-0.7013,212.2247,144.0,2009.0,,primavera,agosto,SO,11.48
2009-04-29,981.7624,979.99,986.06,1.9056,92.1403,84.2,96.1,3.4847,1.2412,0.04,3.04,0.604,2.2506,0.25,4.88,0.9393,-0.4144,-0.8317,243.514,144.0,2009.0,119.0,primavera,junio,SO,17.13
2009-04-30,989.3405,985.88,992.85,1.7149,82.8803,63.86,96.8,10.9219,3.71232,0.5040000000000001,12.6,0.579,2.0215,0.5,5.0,0.9856,-0.1022,-0.3245,252.5241,144.0,2009.0,120.0,primavera,noviembre,O,17.42
2009-05-01,994.081,992.51,996.09,0.8953,81.5568,64.61,97.8,11.1557,1.5678,0.07,9.008851640463778,1.0969,2.7726,0.38,6.25,1.647,0.5827,0.1743,16.6549,144.0,2009.0,121.0,primavera,mayo,N,18.59
